Lake;Experiment;TP ;Chla ;DOC;Temperature;Chla_flu;PAR_I;PAR_II;PAR_III;TN
Erken;2;23.27;392.292;NA;18.43;02. Nov;212;145;53;0.5685
Erken;2;20.38;5.373;NA;18.76;Feb 27;105;63;26;0.5935
Erken;2;20.17;413.622;NA;18.64;01. Aug;255;163;15;0.5658
Erken;2;21.85;465.417;NA;18. Jun;01. Aug;206;133;51;0.5896
Erken;2;20.04;0.2133;NA;18.86;0.87;140;92;34;0.5918
Erken;2;21.19;0.62604;NA;18.63;Jan 59;232;154;66;0.5891
Erken;2;17.58;341.811;NA;18. Jul;Jan 34;149;86;30;0.5861
Erken;2;18.84;567.837;NA;18. Sep;Feb 48;151;93;39;0.6044
Erken;2;19.76;413.622;NA;18. Jun;0.67;256;116;14;0.5803
Erken;2;28.47;1.911.051;NA;19.44;Jan 97;756;401;255;0.67
Erken;2;16.01;569.295;NA;17. Sep;Jan 75;203;138;61;0.5914
Erken;2;17.63;485.361;NA;17.95;03. Feb;200;124;50;0.6095
Erken;2;18.43;268.686;NA;18. Feb;Feb 39;105;65;25;0.6006
Erken;2;19.48;92.952;NA;18.25;Apr 55;122;78;25;0.6259
Erken;2;17.79;320.553;NA;18. Dez;Feb 33;85;62;21;0.5541
Erken;2;18.97;917.397;NA;18. Feb;Jun 13;123;76;26;0.6268
Erken;2;17.41;309.888;NA;18;Jan 67;245;138;70;0.5881
Erken;2;17.46;505.017;NA;17.98;Mär 23;236;182;73;0.583
Erken;2;19.1;784.512;NA;18.82;Jun 25;119;73;23;0.5972
Erken;2;16.35;671.571;NA;18. Jul;02. Dez;234;154;63;0.5956
Erken;2;18,00;517.284;NA;18. Jan;04. Jul;228;141;61;0.6416
Erken;2;16.28;309.888;NA;18.28;Jan 72;146;95;33;0.5641
Erken;2;17.81;579.816;NA;18;Mai 13;192;134;53;0.6043
Erken;2;17.94;404.415;NA;18.26;Feb 46;123;73;30;0.5921
Erken;2;18.63;815.049;NA;18.29;Aug 66;121;75;25;0.5937
Erken;2;18.12;547.893;NA;18;Feb 77;223;140;66;0.6038
Erken;2;33.04;1.633.158;NA;18.66;03. Feb;722;481;348;0.6801
Erken;2;23.53;835.065;NA;17. Mär;Jan 64;66;33;16;0.5585
Erken;2;36.14;558.486;NA;17. Mär;Apr 37;62;30;10;0.5736
Erken;2;19.52;703.422;NA;17. Jul;06. Mär;23;12;4;0.5525
Erken;2;21.3;795.249;NA;17. Jul;Mai 27;28;13;5;0.6116
Erken;2;25.1;720.522;NA;17. Jul;05. Mai;24;11;5;0.6003
Erken;2;21.46;76.311;NA;17. Jul;06. Feb;22;10;3;0.6362
Erken;2;22.1;41.355;NA;17.44;Feb 68;60;28;10;0.6147
Erken;2;20.95;538.614;NA;17.38;Apr 77;66;36;13;0.6298
Erken;2;22.25;88.686;NA;17. Jul;Mai 16;26;12;5;0.6418
Erken;2;45.73;413.622;NA;17. Mai;Feb 52;67;31;10;0.6664
Erken;2;19.69;567.837;NA;17. Apr;Mär 46;64;30;12;0.6289
